sample_id,country_code,level0,level1_family,level2_genus,level3_species,location,source,species_key,year,longitude,latitude,Category
5304300,AU,Evergreen Broadleaf,Rutaceae,Geijera,Geijera salicifolia,Australia,iNaturalist Research-grade Observations,7956176.0,2023,145.0000001672055,-21.200002238620915,Common
5830827,AU,Evergreen Broadleaf,Proteaceae,Banksia,Banksia marginata,Australia,iNaturalist Research-grade Observations,7124257.0,2022,145.30705832484685,-41.4722706666682,Frequent
4288681,US,Deciduous Broadleaf,Sapindaceae,Acer,Acer pensylvanicum,United States of America,iNaturalist Research-grade Observations,3189836.0,2023,-83.43513609033756,35.66802827123773,Frequent
5762773,NZ,Deciduous Broadleaf,Malvaceae,Plagianthus,Plagianthus regius,New Zealand,iNaturalist Research-grade Observations,7278885.0,2022,175.80421491428555,-39.670602099730765,Common
4103277,US,Deciduous Broadleaf,Sapindaceae,Acer,Acer negundo,United States of America,iNaturalist Research-grade Observations,3189866.0,2024,-91.0905742881061,30.536022114220547,Frequent
5918571,CO,Evergreen Broadleaf,Myrtaceae,Eucalyptus,Eucalyptus grandis,Colombia,Biodiversidad asociada al proyecto Línea de Transmisión Bello-Guayabal-Ancón Sur 230 kV,3177028.0,2015,-75.52059290765646,6.233279262388818,Frequent
3990391,US,Deciduous Broadleaf,Rosaceae,Rubus,Rubus bifrons,United States of America,iNaturalist Research-grade Observations,2995779.0,2019,-122.2558290701805,47.54926735533584,Frequent
2066910,PT,Evergreen Needleleaf,Pinaceae,Pinus,Pinus pinea,Portugal,Forestry Inventory 2015,5285165.0,2015,-8.789298413638743,37.20935668227078,Frequent
2024464,PT,Deciduous Broadleaf,Malvaceae,Malva,Malva multiflora,Portugal,iNaturalist Research-grade Observations,3933415.0,2020,-9.023664305906806,38.97811708343378,Common
376992,TW,Evergreen Broadleaf,Euphorbiaceae,Mallotus,Mallotus paniculatus,Chinese Taipei,iNaturalist Research-grade Observations,5378650.0,2022,121.62721175827204,24.68496361682996,Frequent
503218,KR,Deciduous Broadleaf,Rosaceae,Sorbus,Sorbus alnifolia,"Korea, Republic of",2022_snc_observation_citizensciencemonitoring_17710,3012762.0,2022,127.1792161844122,37.4629502182813,Rare
3743357,US,Deciduous Broadleaf,Rosaceae,Crataegus,Crataegus mollis,United States of America,iNaturalist Research-grade Observations,3015562.0,2022,-84.41834557711712,39.238546421359246,Common
4459221,US,Deciduous Broadleaf,Sapindaceae,Acer,Acer platanoides,United States of America,iNaturalist Research-grade Observations,3189846.0,2024,-75.37799531506832,40.59712749391891,Frequent
71030,ZA,Deciduous Broadleaf,Anacardiaceae,Searsia,Searsia crenata,South Africa,iNaturalist Research-grade Observations,5544388.0,2021,23.06315289088326,-34.079999694871944,Common
5543236,AU,Deciduous Broadleaf,Fabaceae,Acacia,Acacia loroloba,Australia,iNaturalist Research-grade Observations,2979424.0,2024,152.02946529999025,-27.635987775798327,Rare
3677305,US,Deciduous Broadleaf,Celastraceae,Celastrus,Celastrus scandens,United States of America,iNaturalist Research-grade Observations,3169171.0,2018,-79.53506807686115,37.72311201014355,Frequent
899710,BE,Deciduous Broadleaf,Rosaceae,Mespilus,Mespilus germanica,Belgium,"Observations.be - Non-native species occurrences in Wallonia, Belgium",3031774.0,2023,6.134380860124441,50.68924146234294,Frequent
5849026,NZ,Deciduous Broadleaf,Malvaceae,Plagianthus,Plagianthus regius,New Zealand,iNaturalist Research-grade Observations,7278885.0,2022,170.53535002773603,-45.84321529228746,Common
518349,GE,Deciduous Broadleaf,Rosaceae,Mespilus,Mespilus germanica,Georgia,iNaturalist Research-grade Observations,3031774.0,2019,41.86020799921693,41.57141431949052,Frequent
5529464,AU,Evergreen Broadleaf,Ericaceae,Styphelia,Styphelia viridis,Australia,iNaturalist Research-grade Observations,7288584.0,2023,152.00432042914986,-28.63213311473393,Common
3760915,US,Evergreen Broadleaf,Acanthaceae,Ruellia,Ruellia caroliniensis,United States of America,iNaturalist Research-grade Observations,5415376.0,2019,-81.44950730944022,27.7834770022421,Frequent
73633,ZA,Evergreen Broadleaf,Annonaceae,Monanthotaxis,Monanthotaxis caffra,South Africa,iNaturalist Research-grade Observations,3156009.0,2023,27.949293134015548,-32.949385704568634,Common
5559325,AU,Evergreen Broadleaf,Fabaceae,Leucaena,Leucaena leucocephala,Australia,iNaturalist Research-grade Observations,2970418.0,2024,151.3492740252976,-25.72156192052241,Frequent
3263004,PR,Evergreen Broadleaf,Piperaceae,Piper,Piper umbellatum,Puerto Rico,iNaturalist Research-grade Observations,3086364.0,2022,-66.58941035759813,18.17209871839008,Common
775490,DE,Deciduous Broadleaf,Lamiaceae,Salvia,Salvia pratensis,Germany,Pl@ntNet automatically identified occurrences,2927007.0,2022,11.778492477624615,51.20467341221181,Frequent
3761009,US,Evergreen Broadleaf,Acanthaceae,Ruellia,Ruellia caroliniensis,United States of America,iNaturalist Research-grade Observations,5415376.0,2019,-78.49257038247498,38.09490739687881,Frequent
3037139,US,Deciduous Broadleaf,Asteraceae,Ambrosia,Ambrosia psilostachya,United States of America,iNaturalist Research-grade Observations,3110686.0,2021,-97.22195417322158,32.664529411072415,Frequent
5255074,AU,Deciduous Broadleaf,Hernandiaceae,Gyrocarpus,Gyrocarpus americanus,Australia,iNaturalist Research-grade Observations,7326414.0,2019,144.5133071236261,-17.17020113909554,Frequent
439821,TW,Evergreen Needleleaf,Podocarpaceae,Podocarpus,Podocarpus nakaii,Chinese Taipei,iNaturalist Research-grade Observations,5285912.0,2022,120.9596174440554,23.925721398661832,Rare
6039188,CO,Deciduous Broadleaf,Meliaceae,Cedrela,Cedrela odorata,Colombia,"Flora y epífitas presentes en el proyecto Minera de Cobre Quebradona, municipio de Jericó",3190511.0,2019,-75.70638581214934,5.799934903812841,Frequent
351902,TW,Evergreen Broadleaf,Proteaceae,Helicia,Helicia cochinchinensis,Chinese Taipei,iNaturalist Research-grade Observations,7287475.0,2021,121.81636236585813,25.05892166757614,Common
4446876,US,Deciduous Broadleaf,Rutaceae,Phellodendron,Phellodendron amurense,United States of America,iNaturalist Research-grade Observations,3190154.0,2023,-72.61844049623386,42.26520139329511,Common
527610,MN,Deciduous Broadleaf,Betulaceae,Betula,Betula platyphylla,Mongolia,iNaturalist Research-grade Observations,5331536.0,2024,110.16145387392976,48.5821200141434,Common
4895803,US,Evergreen Broadleaf,Clethraceae,Clethra,Clethra alnifolia,United States of America,iNaturalist Research-grade Observations,2888323.0,2019,-88.79715605699465,30.416745620141928,Frequent
5146422,US,Deciduous Broadleaf,Hamamelidaceae,Hamamelis,Hamamelis virginiana,United States of America,iNaturalist Research-grade Observations,3152827.0,2024,-73.19264785708819,42.80296006213857,Frequent
4374185,US,Evergreen Broadleaf,Vitaceae,Cissus,Cissus verticillata,United States of America,iNaturalist Research-grade Observations,3039173.0,2024,-80.21157167498258,26.500656056580475,Common
3125493,CA,Evergreen Broadleaf,Magnoliaceae,Magnolia,Magnolia acuminata,Canada,iNaturalist Research-grade Observations,3153837.0,2022,-80.42088187843133,42.69698060740132,Frequent
1992954,PT,Evergreen Broadleaf,Fabaceae,Acacia,Acacia dealbata,Portugal,iNaturalist Research-grade Observations,2979474.0,2021,-8.159954268258552,40.14286995140228,Frequent
4392592,US,Deciduous Broadleaf,Betulaceae,Betula,Betula populifolia,United States of America,iNaturalist Research-grade Observations,8184083.0,2020,-72.18710273313194,42.41657003765539,Frequent
5079112,US,Evergreen Broadleaf,Rubiaceae,Psychotria,Psychotria nervosa,United States of America,Pl@ntNet automatically identified occurrences,2920385.0,2020,-80.71817014566457,28.64589390058486,Frequent
5413714,AU,Evergreen Broadleaf,Myrtaceae,Eucalyptus,Eucalyptus crebra,Australia,NSW BioNet Atlas,3176920.0,2016,151.06687915558288,-32.472315401062566,Common
5762750,NZ,Deciduous Broadleaf,Malvaceae,Plagianthus,Plagianthus regius,New Zealand,iNaturalist Research-grade Observations,7278885.0,2023,174.87466179048212,-41.19803595188128,Common
1678390,NO,Deciduous Broadleaf,Sapindaceae,Acer,Acer platanoides,Norway,Norwegian Species Observation Service,3189846.0,2018,11.039601596664417,59.65629748037625,Frequent
3256898,PR,Evergreen Broadleaf,Melastomataceae,Miconia,Miconia laevigata,Puerto Rico,iNaturalist Research-grade Observations,3188573.0,2024,-65.70047964439159,18.21362186739977,Rare
5644915,AU,Evergreen Broadleaf,Proteaceae,Triunia,Triunia youngiana,Australia,iNaturalist Research-grade Observations,3999101.0,2024,153.20332365230988,-28.25545055324409,Common
1042023,ES,Deciduous Broadleaf,Juglandaceae,Juglans,Juglans regia,Spain,"Observation.org, Nature data from around the World",3054368.0,2023,-4.7642061248258045,43.41461049453869,Frequent
5544846,AU,Evergreen Broadleaf,Fabaceae,Acacia,Acacia mucronata,Australia,iNaturalist Research-grade Observations,2979042.0,2023,145.8211213306923,-38.14228088647062,Common
4174547,US,Deciduous Broadleaf,Sapindaceae,Acer,Acer negundo,United States of America,iNaturalist Research-grade Observations,3189866.0,2022,-93.18926357621356,44.88242616560464,Frequent
4377185,US,Deciduous Broadleaf,Rosaceae,Rhodotypos,Rhodotypos scandens,United States of America,iNaturalist Research-grade Observations,3032442.0,2021,-73.936929791222,41.41075290853486,Frequent
3970411,US,Deciduous Broadleaf,Rhamnaceae,Frangula,Frangula purshiana,United States of America,iNaturalist Research-grade Observations,8286637.0,2022,-124.05752439172426,41.78829607652801,Frequent
4962061,US,Evergreen Broadleaf,Magnoliaceae,Magnolia,Magnolia acuminata,United States of America,iNaturalist Research-grade Observations,3153837.0,2020,-80.34843486361599,39.31126544133883,Frequent
5552402,AU,Deciduous Broadleaf,Fabaceae,Acacia,Acacia terminalis,Australia,NSW BioNet Atlas,2978771.0,2016,151.5639351500105,-33.01681177159779,Frequent
298715,CN,Deciduous Broadleaf,Cannabaceae,Celtis,Celtis sinensis,China,iNaturalist Research-grade Observations,4159594.0,2024,122.3812279100055,29.97943712072944,Common
967726,BE,Deciduous Broadleaf,Rosaceae,Prunus,Prunus laurocerasus,Belgium,"Waarnemingen.be - Non-native plant occurrences in Flanders and the Brussels Capital Region, Belgium",3021496.0,2023,4.540501943176533,51.297712555691945,Frequent
4972693,US,Evergreen Needleleaf,Pinaceae,Picea,Picea rubens,United States of America,iNaturalist Research-grade Observations,5284717.0,2023,-83.11824115577234,35.701814879919695,Frequent
2068209,PT,Evergreen Needleleaf,Pinaceae,Pinus,Pinus pinea,Portugal,Forestry Inventory 2015,5285165.0,2015,-8.507911300762096,39.47627001672054,Frequent
2923256,CA,Deciduous Broadleaf,Rhamnaceae,Frangula,Frangula purshiana,Canada,iNaturalist Research-grade Observations,8286637.0,2023,-122.91913818828478,49.31660084416175,Frequent
175603,ZA,Deciduous Broadleaf,Apiaceae,Steganotaenia,Steganotaenia araliacea,South Africa,iNaturalist Research-grade Observations,3637619.0,2023,29.6087788047628,-23.68075622318973,Rare
6221500,AR,Evergreen Broadleaf,Proteaceae,Gevuina,Gevuina avellana,Argentina,iNaturalist Research-grade Observations,3996031.0,2023,-71.59847463947075,-42.102328268216944,Common
4719416,US,Evergreen Broadleaf,Rhamnaceae,Ceanothus,Ceanothus cuneatus,United States of America,iNaturalist Research-grade Observations,3039404.0,2021,-122.5647823457696,37.94043521818534,Frequent
908433,BE,Deciduous Broadleaf,Rosaceae,Prunus,Prunus laurocerasus,Belgium,"Waarnemingen.be - Non-native plant occurrences in Flanders and the Brussels Capital Region, Belgium",3021496.0,2021,5.662179894968737,50.92681790736948,Frequent
2911396,CA,Deciduous Broadleaf,Ericaceae,Vaccinium,Vaccinium vitis-idaea,Canada,iNaturalist Research-grade Observations,2882835.0,2021,-86.76863518306422,52.0267800370314,Frequent
2065631,PT,Evergreen Needleleaf,Pinaceae,Pinus,Pinus pinea,Portugal,Forestry Inventory 2015,5285165.0,2015,-8.210988679815241,38.97693988075567,Frequent
1991042,PT,Evergreen Broadleaf,Fabaceae,Acacia,Acacia dealbata,Portugal,Sightings Map of Invasive Plants in Portugal,2979474.0,2017,-8.128120745838002,40.90844855216735,Frequent
5885546,CO,Evergreen Broadleaf,Fabaceae,Acacia,Acacia decurrens,Colombia,"Biodiversidad asociada al plan de manejo ambiental del embalse de Tominé, Cundinamarca",2979778.0,2018,-73.86081739534073,4.9131980683245935,Frequent
5529443,AU,Evergreen Broadleaf,Ericaceae,Styphelia,Styphelia viridis,Australia,iNaturalist Research-grade Observations,7288584.0,2024,151.72848489708477,-33.00435304325446,Common
1417068,FR,Deciduous Broadleaf,Asteraceae,Baccharis,Baccharis halimifolia,France,"Observation.org, Nature data from around the World",3129663.0,2023,-2.2807142522101773,46.98102627169102,Frequent
5408248,AU,Evergreen Broadleaf,Myrtaceae,Callistemon,Callistemon linearis,Australia,iNaturalist Research-grade Observations,3173349.0,2021,151.0579119033644,-34.01952090728406,Common
437999,TW,Evergreen Broadleaf,Urticaceae,Dendrocnide,Dendrocnide meyeniana,Chinese Taipei,iNaturalist Research-grade Observations,4098765.0,2021,120.78781719866824,24.04626427743964,Common
3792227,US,Deciduous Broadleaf,Ericaceae,Vaccinium,Vaccinium crassifolium,United States of America,iNaturalist Research-grade Observations,2882960.0,2023,-79.69947513270169,33.07943984589344,Common
56118,BJ,Evergreen Broadleaf,Moraceae,Ficus,Ficus sur,Benin,Plant species inventory in Lama forest in southern Benin by CERF and SOS Biodiversity,5569827.0,2020,2.1742710509633705,6.983219795759452,Common
6089674,CO,Deciduous Broadleaf,Fabaceae,Platymiscium,Platymiscium pinnatum,Colombia,Aprovechamiento Forestal en el área de influencia del Proyecto Hidroeléctrico Ituango,2944742.0,2018,-75.85284498624978,6.750896171773868,Frequent
4093189,US,Deciduous Broadleaf,Rosaceae,Prunus,Prunus ilicifolia,United States of America,iNaturalist Research-grade Observations,3020610.0,2024,-119.75678385309044,34.05238002294689,Frequent
206599,GF,Deciduous Broadleaf,Bignoniaceae,Jacaranda,Jacaranda copaia,French Guiana,iNaturalist Research-grade Observations,7298763.0,2023,-51.695098723372936,4.224989329937863,Common
56093,BJ,Evergreen Broadleaf,Moraceae,Ficus,Ficus sur,Benin,Inventaire des espèces végétales du sous bois des plantations de Teck de la forêt  naturelle de la Lama,5569827.0,2019,2.179176062122161,6.973842306244054,Common
3190153,US,Deciduous Broadleaf,Annonaceae,Asimina,Asimina spec,United States of America,iNaturalist Research-grade Observations,3158021.0,2023,-77.16259890227421,38.34061278312579,Frequent
5689522,AU,Deciduous Broadleaf,Cannabaceae,Celtis,Celtis paniculata,Australia,iNaturalist Research-grade Observations,4159385.0,2020,151.96231123812535,-24.3151882028719,Rare
2483694,PL,Deciduous Broadleaf,Rosaceae,Sorbus,Sorbus aucuparia,Poland,iNaturalist Research-grade Observations,3012167.0,2022,19.030181370508885,49.68433398983732,Frequent
4082263,US,Deciduous Broadleaf,Moraceae,Morus,Morus rubra,United States of America,iNaturalist Research-grade Observations,5361886.0,2019,-93.18296732552608,33.346589049106434,Frequent
4930309,US,Deciduous Broadleaf,Hamamelidaceae,Hamamelis,Hamamelis virginiana,United States of America,iNaturalist Research-grade Observations,3152827.0,2019,-83.89360748334971,42.46219110053318,Frequent
2984355,CA,Deciduous Broadleaf,Rosaceae,Rubus,Rubus bifrons,Canada,iNaturalist Research-grade Observations,2995779.0,2023,-123.48391009131002,49.39377004699268,Frequent
5515934,AU,Evergreen Broadleaf,Capparaceae,Capparis,Capparis arborea,Australia,iNaturalist Research-grade Observations,5601966.0,2024,151.54907296619936,-26.83375982347499,Common
1041621,ES,Deciduous Broadleaf,Hypericaceae,Hypericum,Hypericum canariense,Spain,iNaturalist Research-grade Observations,3189481.0,2022,-15.593699338952913,28.09111038391934,Common
5805323,NZ,Evergreen Broadleaf,Rubiaceae,Coprosma,Coprosma acerosa,New Zealand,iNaturalist Research-grade Observations,2911375.0,2017,174.9789913778296,-39.941095628733855,Common
6125747,CO,Deciduous Broadleaf,Cordiaceae,Cordia,Cordia dentata,Colombia,Biodiversidad asociada al Estudio de Impacto Ambiental del proyecto: Interconexión Cuestecitas - Copey - Fundación 500/220 mil voltios,5361859.0,2019,-73.20485687577252,10.384100364504716,Frequent
4148789,US,Deciduous Broadleaf,Oleaceae,Forestiera,Forestiera angustifolia,United States of America,iNaturalist Research-grade Observations,3172386.0,2021,-97.66506842220564,26.185018588512307,Common
3559656,US,Deciduous Broadleaf,Lamiaceae,Salvia,Salvia spathacea,United States of America,iNaturalist Research-grade Observations,2927042.0,2022,-119.76042693865114,34.45843914217684,Frequent
2170328,UA,Deciduous Broadleaf,Grossulariaceae,Ribes,Ribes spicatum,Ukraine,iNaturalist Research-grade Observations,2986129.0,2023,30.462059005047045,50.34535558910119,Frequent
1834606,IE,Evergreen Broadleaf,Fabaceae,Acacia,Acacia polyphylla,Ireland,Vascular plants: Online Atlas of Vascular Plants 2012 Onwards,5386.0,2024,-9.214201693920549,53.811472806258365,Frequent
4708160,US,Evergreen Needleleaf,Pinaceae,Pinus,Pinus radiata,United States of America,iNaturalist Research-grade Observations,5285727.0,2018,-121.95063481677953,36.52031409198706,Frequent
106339,ZA,Evergreen Broadleaf,Oleaceae,Noronhia,Noronhia foveolata,South Africa,iNaturalist Research-grade Observations,9233275.0,2019,19.44989871626553,-34.566781920472415,Rare
2652289,US,Deciduous Broadleaf,Asteraceae,Erigeron,Erigeron strigosus,United States of America,iNaturalist Research-grade Observations,3146632.0,2021,-74.06368419776726,44.30298827921461,Frequent
352977,TW,Evergreen Broadleaf,Schisandraceae,Illicium,Illicium anisatum,Chinese Taipei,iNaturalist Research-grade Observations,7314073.0,2023,121.00783816284734,24.257001393225487,Common
1052240,ES,Evergreen Needleleaf,Pinaceae,Pinus,Pinus canariensis,Spain,"Observation.org, Nature data from around the World",5285243.0,2019,-17.860626050705832,28.69661617506781,Common
6008641,CO,Evergreen Broadleaf,Lamiaceae,Aegiphila,Aegiphila truncata,Colombia,"Flora y epífitas presentes en el proyecto Minera de Cobre Quebradona, municipio de Jericó",3890264.0,2019,-75.7066488991115,5.79609115870477,Common
119857,ZA,Evergreen Broadleaf,Proteaceae,Protea,Protea cynaroides,South Africa,iNaturalist Research-grade Observations,5637947.0,2020,19.05334194138048,-33.78068699576044,Frequent
4250569,US,Deciduous Broadleaf,Fagaceae,Quercus,Quercus muehlenbergii,United States of America,iNaturalist Research-grade Observations,2879947.0,2020,-85.84416989356276,38.09013615875162,Frequent
3017378,US,Deciduous Broadleaf,Asteraceae,Ambrosia,Ambrosia psilostachya,United States of America,iNaturalist Research-grade Observations,3110686.0,2021,-117.27336332609168,33.01163921437579,Frequent
180209,ZA,Evergreen Broadleaf,Rubiaceae,Pavetta,Pavetta lanceolata,South Africa,iNaturalist Research-grade Observations,2905528.0,2019,31.418326603261672,-29.2105989170943,Rare
3591291,US,Evergreen Broadleaf,Asteraceae,Senecio,Senecio atratus,United States of America,iNaturalist Research-grade Observations,3106931.0,2024,-108.0931578186026,37.46174626099687,Common
4286191,US,Deciduous Broadleaf,Sapindaceae,Acer,Acer negundo,United States of America,iNaturalist Research-grade Observations,3189866.0,2022,-84.75178377659064,39.593731656670414,Frequent
1437973,FR,Deciduous Broadleaf,Oleaceae,Syringa,Syringa vulgaris,France,Pl@ntNet automatically identified occurrences,5415039.0,2021,-1.715549948292233,48.2668125195532,Frequent
4868622,US,Evergreen Broadleaf,Rhamnaceae,Sarcomphalus,Sarcomphalus obtusifolius,United States of America,iNaturalist Research-grade Observations,8937468.0,2023,-102.12350061049352,31.96639917284176,Common
120482,ZA,Evergreen Broadleaf,Proteaceae,Protea,Protea grandiceps,South Africa,iNaturalist Research-grade Observations,5637572.0,2021,19.01022689329472,-33.99767577122323,Rare
6105747,CO,Deciduous Broadleaf,Bignoniaceae,Jacaranda,Jacaranda copaia,Colombia,"Plantas y hongos asociados a la construcción de la Intersección Aguazul, corredor Villavicencio - Yopal",7298763.0,2022,-72.5643471413545,5.176855795412741,Common
5782755,NZ,Evergreen Needleleaf,Pinaceae,Pinus,Pinus radiata,New Zealand,iNaturalist Research-grade Observations,5285727.0,2023,171.7297202449015,-43.49529346899974,Frequent
4664291,US,Evergreen Broadleaf,Ericaceae,Leptecophylla,Leptecophylla tameiameiae,United States of America,iNaturalist Research-grade Observations,4010523.0,2018,-155.38845707343944,19.66419419469204,Common
4833538,US,Evergreen Broadleaf,Ericaceae,Arbutus,Arbutus arizonica,United States of America,iNaturalist Research-grade Observations,2882797.0,2022,-110.2821795758508,31.43285881359485,Common
4043856,US,Deciduous Broadleaf,Betulaceae,Ostrya,Ostrya virginiana,United States of America,iNaturalist Research-grade Observations,5332289.0,2023,-90.9868020883903,31.42663390852424,Frequent
2616528,SI,Deciduous Broadleaf,Salicaceae,Salix,Salix purpurea,Slovenia,iNaturalist Research-grade Observations,5372800.0,2022,14.705201158548553,45.90194611226239,Common
4232322,US,Deciduous Broadleaf,Fabaceae,Albizia,Albizia sp,United States of America,iNaturalist Research-grade Observations,2972897.0,2023,-86.02385828871347,34.385782549612,Frequent
4347656,US,Deciduous Broadleaf,Fagaceae,Quercus,Quercus stellata,United States of America,iNaturalist Research-grade Observations,8879961.0,2022,-76.71402671360072,37.41244643974997,Frequent
5782700,NZ,Evergreen Needleleaf,Pinaceae,Pinus,Pinus radiata,New Zealand,iNaturalist Research-grade Observations,5285727.0,2024,174.73798142499191,-41.31460577162047,Frequent
4540338,US,Evergreen Broadleaf,Ericaceae,Vaccinium,Vaccinium parvifolium,United States of America,iNaturalist Research-grade Observations,2882910.0,2021,-123.84724210424584,47.45846222148348,Frequent
5420933,AU,Evergreen Broadleaf,Myrtaceae,Eucalyptus,Eucalyptus radiata,Australia,NSW BioNet Atlas,3176655.0,2019,150.0742877201869,-33.6481758897552,Common
4263444,US,Deciduous Broadleaf,Paulowniaceae,Paulownia,Paulownia tomentosa,United States of America,iNaturalist Research-grade Observations,3170823.0,2022,-87.14272254774095,36.29871460603501,Frequent
302115,TW,Deciduous Broadleaf,Gentianaceae,Swertia,Swertia tozanensis,Chinese Taipei,iNaturalist Research-grade Observations,5595329.0,2024,121.27966050396432,24.024214022730344,Rare
3576754,US,Deciduous Broadleaf,Salicaceae,Salix,Salix laevigata,United States of America,iNaturalist Research-grade Observations,5372838.0,2021,-117.65257865697988,33.693953021169875,Common
166768,ZA,Evergreen Broadleaf,Apocynaceae,Secamone,Secamone filiformis,South Africa,iNaturalist Research-grade Observations,3578985.0,2022,30.787912273628653,-24.56516540792808,Common
85446,ZA,Evergreen Needleleaf,Cupressaceae,Cupressus,Cupressus lusitanica,South Africa,Tree planting occurrences,2684046.0,2018,18.41315772133936,-34.062100863243415,Common
3100679,MX,Evergreen Broadleaf,Solanaceae,Solanum,Solanum hirtum,Mexico,iNaturalist Research-grade Observations,2929212.0,2023,-91.27611302383892,18.92908909052621,Rare
3603317,US,Deciduous Broadleaf,Convolvulaceae,Ipomoea,Ipomoea lindheimeri,United States of America,iNaturalist Research-grade Observations,2928548.0,2021,-99.73586157412277,29.582884804945444,Common
1296098,FI,Deciduous Broadleaf,Rosaceae,Malus,Docynia delavayi,Finland,LajiGIS: Species mapping and surveys,3001068.0,2019,22.54918352615993,59.882168785137495,Frequent
5222587,AU,Deciduous Broadleaf,Asteraceae,Erigeron,Erigeron bonariensis,Australia,SA Flora,3146717.0,2016,140.8660478443748,-33.937031996896366,Frequent
6098429,CO,Deciduous Broadleaf,Polygonaceae,Triplaris,Triplaris cumingiana,Colombia,Aprovechamiento Forestal en el área de influencia del Proyecto Hidroeléctrico Ituango,4038399.0,2018,-75.85051733549987,6.754115642734456,Frequent
2652070,CA,Deciduous Broadleaf,Asteraceae,Erigeron,Erigeron strigosus,Canada,iNaturalist Research-grade Observations,3146632.0,2022,-74.8151854165066,46.2554235118701,Frequent
5762677,NZ,Deciduous Broadleaf,Malvaceae,Plagianthus,Plagianthus regius,New Zealand,iNaturalist Research-grade Observations,7278885.0,2024,172.2819308602592,-43.24562394191625,Common
5907622,CO,Evergreen Broadleaf,Verbenaceae,Duranta,Duranta mutisii,Colombia,"Biodiversidad asociada al plan de manejo ambiental del embalse de Tominé, Cundinamarca",7297074.0,2018,-73.82169770179885,5.028256252806656,Common
1651394,HU,Evergreen Broadleaf,Rutaceae,Citrus,Citrus polyandra,Hungary,iNaturalist Research-grade Observations,2396.0,2024,18.977479255158208,47.491704819836905,Frequent
2206602,RU,Deciduous Broadleaf,Fabaceae,Caragana,Caragana arborescens,Russian Federation,iNaturalist Research-grade Observations,2943190.0,2023,42.31906287491969,56.29233826835352,Frequent
5222588,AU,Deciduous Broadleaf,Asteraceae,Erigeron,Erigeron bonariensis,Australia,SA Flora,3146717.0,2016,138.54257973126417,-35.37083810422767,Frequent
75004,ZA,Evergreen Broadleaf,Apocynaceae,Secamone,Secamone filiformis,South Africa,iNaturalist Research-grade Observations,3578985.0,2021,28.07196300399584,-32.79772721863988,Common
485398,IN,Deciduous Broadleaf,Combretaceae,Terminalia,Terminalia bellirica,India,iNaturalist Research-grade Observations,3189390.0,2024,74.11315346485418,16.17146506244789,Rare
4652830,US,Evergreen Broadleaf,Ericaceae,Arctostaphylos,Arctostaphylos manzanita,United States of America,iNaturalist Research-grade Observations,2882567.0,2024,-122.4236696338322,38.57096102534469,Common
